bundle_id,bundle_lane,bundle_action,bundle_title,bundle_child_order,child_id,canonical_name,original_canonical_name,entity_type,source_entity_type,application_status,safe_application_status,temporal_validation,title_years,historical_title,explicit_open_evidence,reopen_evidence,future_deadline_proven,official_application_route,recent_verification_proven,last_verified_at,temporal_flags,opening_date,closing_date,official_page_url,application_url,inferred_family,parent_scheme_name,parent_master_id,repaired_parent_scheme_name,repaired_parent_master_id,parent_link_resolution,parent_link_flags,programme_alias_matches,standalone_call_matches,parent_resolution,evidence_excerpt,status_evidence,source_urls,quality_flags,publication_eligible,apply_action_allowed,source_candidate_id,source_evidence_id,source_candidate_ids,evidence_ids,verified_information_url,verified_information_role,verified_information_title,verified_information_provenance_id,verified_application_url,verified_application_role,verified_application_title,verified_application_provenance_id,application_route_withheld,application_route_withheld_reason,link_count_inspected,link_integrity_complete,raw_application_url
meitybundle_b5519f29bb40e18c8938,BATCH_CONFIRMATION,CONFIRM_EXISTING_PROGRAMME_FAMILY,Programme family — CREST Semiconductor Accelerator,1,meitychild_c7b578761fe85b0014c6,CREST Semiconductor Accelerator,Micron,ACCELERATOR_PROGRAMME,PERMANENT_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/program/mshcorporate/micron,,CREST Semiconductor Accelerator,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,"meitycall_0c7011d0b31e008b13b8 Micron https://msh.meity.gov.in/program/mshcorporate/micron PUBLISHED 1 VERIFICATION_REQUIRED UNRESOLVED The available evidence is insufficient to determine whether this is a call, programme, event or directory. REQUIRES_MANUAL_REVIEW False Inspect the official page and assign a governed entity type before any republication. 3","meitycall_0c7011d0b31e008b13b8 Micron https://msh.meity.gov.in/program/mshcorporate/micron PUBLISHED 1 VERIFICATION_REQUIRED UNRESOLVED The available evidence is insufficient to determine whether this is a call, programme, event or directory. REQUIRES_MANUAL_REVIEW False Inspect the official page and assign a governed entity type before any republication. 3",https://msh.meity.gov.in/program/mshcorporate/micron,,False,False,meity380_1d567fedb2b3d9b772e1,meityev_1aa0cb504e075af257d9,meity380_1d567fedb2b3d9b772e1,meityev_1aa0cb504e075af257d9,https://msh.meity.gov.in/program/mshcorporate/micron,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_bfd135c2324f6031a1d9,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_830585abbcda943ddb7f,BATCH_CONFIRMATION,CONFIRM_EXISTING_PROGRAMME_FAMILY,Programme family — GENESIS,1,meitychild_b5791bcc613b68c1037a,GENESIS,GENESIS,PERMANENT_PROGRAMME,GRANT_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/schemes/genesis,,GENESIS,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,"MEITY-94f8ab0a070a6ff15fce-a5e591ff4c69 94f8ab0a070a6ff15fce GENESIS GENESIS MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) SCHEME PERMANENT_SCHEME ADD false true https://msh.meity.gov.in/schemes/genesis https://msh.meity.gov.in/schemes/genesis NO_CURRENT_APPLICATION_ROUTE UMBRELLA_SCHEME_INFORMATION_AVAILABLE APPLICATION_STATUS_REQUIRES_VERIFICATION DPIIT-registered startup; at least 51% Indian promoter shareholding at application; additional component-specific selection requirements apply. Support may include early-stage funding up to INR 10 lakh, pilot/investment support up to INR 50 lakh, and deep-tech support up to INR 1 crore, subject to component rules. PASS PASS APPROVE cae05b8ed60836fe3813daa36ff7fb3398b79be844aa3c78f97325ca8903240c a5e591ff4c6961af2aa20a3bb0f9a47b31b18156be5274543e22b4be924","MEITY-94f8ab0a070a6ff15fce-a5e591ff4c69 94f8ab0a070a6ff15fce GENESIS GENESIS MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) SCHEME PERMANENT_SCHEME ADD false true https://msh.meity.gov.in/schemes/genesis https://msh.meity.gov.in/schemes/genesis NO_CURRENT_APPLICATION_ROUTE UMBRELLA_SCHEME_INFORMATION_AVAILABLE APPLICATION_STATUS_REQUIRES_VERIFICATION DPIIT-registered startup; at least 51% Indian promoter shareholding at application; additional component-specific selection requirements apply. Support may include early-stage funding up to INR 10 lakh, pilot/investment support up to INR 50 lakh, and deep-tech support up to INR 1 crore, subject to component rules. PASS PASS APPROVE cae05b8ed60836fe3813daa36ff7fb3398b79be844aa3c78f97325ca8903240c a5e591ff4c6961af2aa20a3bb0f9a47b31b18156be5274543e22b4be92469773",https://msh.meity.gov.in/schemes/genesis,ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_bebdb10bf2e3e7651c6c,meityev_55a9d5e385b14e68cdbd,meity380_50b807ed2cbbfa704711;meity380_9f23631668c609262540;meity380_bebdb10bf2e3e7651c6c,meityev_28052187115f5e02f573;meityev_55a9d5e385b14e68cdbd;meityev_8f356436311e758bf01c,https://msh.meity.gov.in/schemes/genesis,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_b685ae6afb43b1c7538c,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_21fa26e029349f85d4c0,BATCH_CONFIRMATION,CONFIRM_EXISTING_PROGRAMME_FAMILY,Programme family — MathWorks Startup Program,1,meitychild_ac7137fbb6cecc8c9e29,MathWorks Startup Program,Mathworks,ACCELERATOR_PROGRAMME,PERMANENT_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/program/mshcorporate/mathworks,,MathWorks Startup Program,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,meitycall_c53a5b2578e3b03d7291 Mathworks https://msh.meity.gov.in/program/mshcorporate/mathworks PERMANENT_PARTNERSHIP_PROGRAMME MathWorks page describes an ongoing partnership benefit without a dated call instance. False,meitycall_c53a5b2578e3b03d7291 Mathworks https://msh.meity.gov.in/program/mshcorporate/mathworks PERMANENT_PARTNERSHIP_PROGRAMME MathWorks page describes an ongoing partnership benefit without a dated call instance. False,https://msh.meity.gov.in/program/mshcorporate/mathworks,,False,False,meity380_e6f6f0d882a384cc8680,meityev_3dac9a0a2fa0a8512869,meity380_e6f6f0d882a384cc8680,meityev_3dac9a0a2fa0a8512869,https://msh.meity.gov.in/program/mshcorporate/mathworks,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_24a245f0f02510e77ea7,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_7343829ad4f458172a33,DEEP_REVIEW,REVIEW_NEW_PROGRAMME_FAMILY,Programme family — SAMRIDH,1,meitychild_0c3806dab66dc7130584,SAMRIDH,SAMRIDH,ACCELERATOR_PROGRAMME,ACCELERATOR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/schemes/samridh,,SAMRIDH,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,41cf9bc59e6007d4c6ec2377 66d6230a6ecf9c5be6d5e12f 1d87b1fba4c754a5fda15edb 147173e17ea741687247 SAMRIDH https://msh.meity.gov.in/schemes/samridh https://msh.meity.gov.in/schemes/samridh 200 msh.meity.gov.in Google Chrome C:\Program Files\Google\Chrome\Application\chrome.exe 1.61.0 MeityStartupHub 2159 visible_text:startup accelerator of meity for product innovation development and growth VERIFIED_INFORMATION_PAGE 0.98 True COMPLETED 18 2026-07-13T09:18:57+00:00,41cf9bc59e6007d4c6ec2377 66d6230a6ecf9c5be6d5e12f 1d87b1fba4c754a5fda15edb 147173e17ea741687247 SAMRIDH https://msh.meity.gov.in/schemes/samridh https://msh.meity.gov.in/schemes/samridh 200 msh.meity.gov.in Google Chrome C:\Program Files\Google\Chrome\Application\chrome.exe 1.61.0 MeityStartupHub 2159 visible_text:startup accelerator of meity for product innovation development and growth VERIFIED_INFORMATION_PAGE 0.98 True COMPLETED 18 2026-07-13T09:18:57+00:00,https://msh.meity.gov.in/schemes/samridh,CLOSING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_bed083e35b84c665de04,meityev_75896f4ac47cb3a758a1,meity380_79f29285e5756679d412;meity380_bed083e35b84c665de04,meityev_75896f4ac47cb3a758a1;meityev_aede414fea6e8df35cab,https://msh.meity.gov.in/schemes/samridh,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_9485c3d7629ef9672d78,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_5cff784a4ae89905962c,BATCH_CONFIRMATION,CONFIRM_EXISTING_PROGRAMME_FAMILY,Programme family — SASACT,1,meitychild_01ab09b29b6907e0b71a,SASACT,SASACT,PERMANENT_PROGRAMME,PERMANENT_SCHEME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/schemes/sasact,,SASACT,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,194b7ba77d6b53f30b91 meity_1c5c50d5e86fc876d0b3 SASACT Scheme for Accelerating Startups around Post-COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact VERIFIED_PERMANENT_SCHEME_IDENTITY true MEITY_SCHEME_SASACT 3 https://msh.meity.gov.in/schemes/sasact HISTORICAL_SCHEME_INFORMATION_AVAILABLE HISTORICAL_INFORMATION_ONLY 4 NOT_PUBLISHED,194b7ba77d6b53f30b91 meity_1c5c50d5e86fc876d0b3 SASACT Scheme for Accelerating Startups around Post-COVID Technology Opportunities (SASACT) https://msh.meity.gov.in/schemes/sasact VERIFIED_PERMANENT_SCHEME_IDENTITY true MEITY_SCHEME_SASACT 3 https://msh.meity.gov.in/schemes/sasact HISTORICAL_SCHEME_INFORMATION_AVAILABLE HISTORICAL_INFORMATION_ONLY 4 NOT_PUBLISHED,https://msh.meity.gov.in/schemes/sasact,ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_84d33ad7fb1d355f74ea,meityev_cf63b567f2965090d9ef,meity380_84d33ad7fb1d355f74ea;meity380_d47c6b4d57eede032edc,meityev_cf63b567f2965090d9ef;meityev_e264bdec8027c20fc8e9,https://msh.meity.gov.in/schemes/sasact,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_743e1f2208eebc3613ec,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_34bb1d1257613c635ece,DEEP_REVIEW,REVIEW_NEW_PROGRAMME_FAMILY,Programme family — TIDE 2.0,1,meitychild_283ae3f4590c60c92d35,TIDE 2.0,TIDE 2.0,INCUBATION_PROGRAMME,INCUBATION_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/schemes/tide,,TIDE 2.0,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,"6af79cf6c8a213dddce8 TIDE 2.0 TIDE 2.0 SCHEME Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) Innovation and IPR Division, MeitY, in association with 51 incubation centres MeitY Startup Hub (MSH) HISTORICAL_INFORMATION_ONLY NO_CURRENT_APPLICATION_ROUTE_CONFIRMED Promote technology entrepreneurship through financial and technical support to incubators supporting ICT and emerging-technology startups addressing areas of societal relevance. The approved implementation model operated through designated incubation centres at institutes of higher learning and research organisations. Downstream support was intended for technology startups and entrepreneurs working with emerging technologies in approved thematic areas. No current application eligibility or open application window has been verified. Designated incubation centres","6af79cf6c8a213dddce8 TIDE 2.0 TIDE 2.0 SCHEME Ministry of Electronics and Information Technology (MeitY) Ministry of Electronics and Information Technology (MeitY) Innovation and IPR Division, MeitY, in association with 51 incubation centres MeitY Startup Hub (MSH) HISTORICAL_INFORMATION_ONLY NO_CURRENT_APPLICATION_ROUTE_CONFIRMED Promote technology entrepreneurship through financial and technical support to incubators supporting ICT and emerging-technology startups addressing areas of societal relevance. The approved implementation model operated through designated incubation centres at institutes of higher learning and research organisations. Downstream support was intended for technology startups and entrepreneurs working with emerging technologies in approved thematic areas. No current application eligibility or open application window has been verified. Designated incubation centres, technology entrepreneurs and ICT or emerging-technology startups supported through those centres. Idea to proof of concept through Entrepreneur-in-Residence support; prototype development through grants; and product development or market outreach through investment support. Financial and technical",https://msh.meity.gov.in/schemes/tide,CLOSING_DATE_CONTEXT_NOT_PROVEN;OPENING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_23d6c604911a8f7a77fa,meityev_a677d4847a9fbfb6d39a,meity380_23d6c604911a8f7a77fa;meity380_e737318caeca3a516b80,meityev_669e2128ebc52986e42b;meityev_a677d4847a9fbfb6d39a,https://msh.meity.gov.in/schemes/tide,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_66cd2cb850d07a7f5297,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
meitybundle_3a121f4066809c963640,BATCH_CONFIRMATION,CONFIRM_EXISTING_PROGRAMME_FAMILY,Programme family — XR Startup Program,1,meitychild_cad924e545fdfea8a245,XR Startup Program,Xr Startup Program,ACCELERATOR_PROGRAMME,ACCELERATOR_PROGRAMME,SCHEME_INFORMATION_AVAILABLE,SCHEME_INFORMATION_AVAILABLE,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,,,SAMRIDH,,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,"meitycall_2f886d6194cb0b281a16 Xr Startup Program MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/xr-startup-program VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Xr Startup Program Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN Shortlisted Startups XR Startup Program A program to discover, nurture, and accelerate XR technology startups across India. About the program XR Startup Program is a collaboration between Meta and MeitY Startup Hub (MSH). The program a","meitycall_2f886d6194cb0b281a16 Xr Startup Program MeitY Startup Hub Ministry of Electronics and Information Technology (MeitY) MeitY Startup Hub APPLICATION_CALL CALL_INSTANCE 147173e17ea741687247 SAMRIDH CURATED_OFFICIAL_RELATIONSHIP https://msh.meity.gov.in/program/mshcorporate/xr-startup-program VERIFICATION_REQUIRED INSUFFICIENT_CURRENT_STATUS_EVIDENCE No verified current deadline and official application route were established. REQUIRES_ADMIN_VERIFICATION DIRECT_OR_REVIEW_REQUIRED UNKNOWN 0.600 True False Xr Startup Program Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN Shortlisted Startups XR Startup Program A program to discover, nurture, and accelerate XR technology startups across India. About the program XR Startup Program is a collaboration between Meta and MeitY Startup Hub (MSH). The program aims to accelerate India’s contribution towards building the foundations of the metaverse and nurturing the development of Extended Reality (XR) technologies in India. The metaverse is the next generation of the internet. It will be a set of digital spaces, including 3D experiences that are all inter",https://msh.meity.gov.in/program/mshcorporate/xr-startup-program,,False,False,meity380_2b210dff922968dc1524,meityev_c47ccb479ae1c78be1a2,meity380_2b210dff922968dc1524,meityev_c47ccb479ae1c78be1a2,,,,,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,False,
meitybundle_cd218483a181529020f2,DEEP_REVIEW,REVIEW_CURRENT_CALL,Potential current call — Google Appscale Academy 2023,1,meitychild_0f95bbacb6f160303e98,Google Appscale Academy 2023,Google Appscale Academy 2023 Impact,ACCELERATOR_COHORT,RESULT_ANNOUNCEMENT,HISTORICAL_CLOSED,HISTORICAL_CLOSED,HISTORICAL_BY_TITLE_OR_DEADLINE,2023,True,False,False,False,True,False,,TITLE_YEAR:2023;HISTORICAL_TITLE_WITHOUT_REOPEN_EVIDENCE,,,,,GENESIS,,,,,UNRESOLVED,STANDALONE_CALL_IDENTITY;INCIDENTAL_PARENT_LINK_REMOVED;INFERRED_FAMILY_CLEARED,,Google Appscale Academy,LINKED_TO_CALL_CANDIDATE,"MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Me","MeityStartupHub Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 A + A - A A A REGISTER LOGIN ABOUT US Organisation Profile Team DIC MSH logo usage guidelines Apply for MSH logo Newsletter Contact Us Innovation Patent & IPR Support SCHEMES SAMRIDH TIDE 2.0 SITAA SASACT GENESIS PROGRAM MSH Corporate SBI TALLY RAZORPAY PARTNERSHIP MATHWORKS MICRON SAMSUNG ""SOLVE FOR TOMORROW"" GOOGLE APPSCALE 2023 IMPACT BHUMI - BSF DRISHTI - SSB IHMCL META XR Startup Program Global Startup Bridge IFTECH BRUSSELS 2025 VIVATECH 2023 VIVATECH 2022 COE INCUBATOR NETWORKS Startups Incubators Mentors Accelerators COE Investors RESOURCE Labs Venue Space Co working space Equipment Startup School IPR Support MEDIA Press Releases Social Media News Gallery Events G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More Publications CAREERS MEDIA Press Releases Social Media News Gallery EVENTS G20 DIA Overview Exhibition Program at Glance The Summit Speakers & Juries Gallery More REGISTER LOGIN PARTICIPATE MedTech OCP 4.0 MedTech is a Center of Entrepreneurship in the field of MediElectronics and Health Deadline: Mar 29, 2023 PROGRAMS > MSH CORPORATE > GOOGLE APPSC",https://msh.meity.gov.in/program/mshcorporate/googleappscale,PARENT_UNRESOLVED;OPENING_DATE_CONTEXT_NOT_PROVEN;CLOSING_DATE_CONTEXT_NOT_PROVEN;ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_2cd816826189dd59f2ee,meityev_d6d3bc3ccbd8fe774541,meity380_2a55c0736beab7bf7eff;meity380_2cd816826189dd59f2ee;meity380_575291188156ba0e29b1;meity380_c514ac8a22eee69b1b43,meityev_279f063ddebdb552547e;meityev_30f94c3b7b18340ad237;meityev_d6d3bc3ccbd8fe774541;meityev_ef515c83eb37389bb503,,,,,,,,,True,GLOBAL_CURRENT_EVIDENCE_INCOMPLETE,2,False,https://msh.meity.gov.in/about/applyforthelogo
meitybundle_efe851fe2236a1b3957a,BATCH_CONFIRMATION,CONFIRM_CALL_OR_CHALLENGE_GROUP,Calls/challenges — CREST Semiconductor Accelerator — ACCELERATOR_COHORT,1,meitychild_1f6c12c61b14cbd354b6,CREST Semiconductor Accelerator for Early-Stage Startups,CREST Semiconductor Accelerator for Early-Stage Startups,ACCELERATOR_COHORT,ACCELERATOR_COHORT,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,,,CREST Semiconductor Accelerator,Micron,meitycall_0c7011d0b31e008b13b8,CREST Semiconductor Accelerator,,TITLE_OR_URL_ALIAS_MATCH,,CREST Semiconductor Accelerator,,MATCHED_EXISTING_PROGRAMME,"meitycall_0c7011d0b31e008b13b8 Micron CREST Semiconductor Accelerator for Early-Stage Startups https://msh.meity.gov.in/program/mshcorporate/micron The official page describes a launched accelerator, but the specific cohort window and historical closure are not yet evidenced. Recover cohort dates, selection result and applicant-layer evidence. True False Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > MICRON MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS MeitY Startup Hub (MSH) an independent division of the Ministry of Electronics & Information Technology (MeitY), Government of India in partnership with Micron and PIEDS, the Technology Business Incubator and Center for Research Excellence in Semiconducto","meitycall_0c7011d0b31e008b13b8 Micron CREST Semiconductor Accelerator for Early-Stage Startups https://msh.meity.gov.in/program/mshcorporate/micron The official page describes a launched accelerator, but the specific cohort window and historical closure are not yet evidenced. Recover cohort dates, selection result and applicant-layer evidence. True False Skip to main content meity-sthub@gov.in Contact : +91-11-24301244 ABOUT US SCHEMES PROGRAM NETWORKS RESOURCE MEDIA REGISTER LOGIN PROGRAMS > MSH CORPORATE > MICRON MEITY STARTUP HUB (MSH), MICRON AND PIEDS, CREST (BITS PILANI), LAUNCH A SEMICONDUCTOR ACCELERATOR FOR EARLY-STAGE STARTUPS MeitY Startup Hub (MSH) an independent division of the Ministry of Electronics & Information Technology (MeitY), Government of India in partnership with Micron and PIEDS, the Technology Business Incubator and Center for Research Excellence in Semiconductor Technologies (CREST) of BITS Pilani announced today the launch of CREST accelerator program for startups in Semiconductor domain. The accelerator program will curate a cohort of startups and provide each with funding of up to Rs. 10 Lacs, with an opportunity to raise further investment at the end ",https://msh.meity.gov.in/program/mshcorporate/micron,ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_4addec90cfd2b6e4fc38,meityev_01881c85642c87cabfbf,meity380_4addec90cfd2b6e4fc38;meity380_d84445d5a21cb05a9378,meityev_01881c85642c87cabfbf;meityev_8bfcb41b446cdd8725d2,,,,,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,False,
meitybundle_25cfdc0d3bb00a1ff98f,BATCH_CONFIRMATION,CONFIRM_CALL_OR_CHALLENGE_GROUP,Calls/challenges — SAMRIDH — ACCELERATOR_COHORT,1,meitychild_571fe4d97b296191ad93,SAMRIDH,SAMRIDH,ACCELERATOR_COHORT,ACCELERATOR_COHORT,VERIFICATION_REQUIRED,VERIFICATION_REQUIRED,NOT_APPLICABLE,,False,False,False,False,False,False,,,,,https://msh.meity.gov.in/schemes/samridh,,SAMRIDH,SAMRIDH,,SAMRIDH,,DIRECT_PARENT_EVIDENCE,,SAMRIDH,,MATCHED_DISCOVERED_PROGRAMME,"meity_call_review_samridh_first_round_v34201 147173e17ea741687247 SAMRIDH SAMRIDH First-Round Cohort COHORT_INSTANCE FIRST_ROUND https://msh.meity.gov.in/schemes/samridh HAS_COHORT_INSTANCE The official scheme page refers to a first-round cohort involving 22 accelerators and 175 startups. Create a separate historical cohort instance only after official opening dates, closing dates and cohort notice evidence are located. false OPEN NEEDS_CALL_EVIDENCE Do not merge first-round results or participant counts into the permanent SAMRIDH identity.","meity_call_review_samridh_first_round_v34201 147173e17ea741687247 SAMRIDH SAMRIDH First-Round Cohort COHORT_INSTANCE FIRST_ROUND https://msh.meity.gov.in/schemes/samridh HAS_COHORT_INSTANCE The official scheme page refers to a first-round cohort involving 22 accelerators and 175 startups. Create a separate historical cohort instance only after official opening dates, closing dates and cohort notice evidence are located. false OPEN NEEDS_CALL_EVIDENCE Do not merge first-round results or participant counts into the permanent SAMRIDH identity.",https://msh.meity.gov.in/schemes/samridh,ALIASES_AND_EVIDENCE_CONSOLIDATED,False,False,meity380_5594ed5732ac2f2b042a,meityev_66176773e5c2d943b139,meity380_103fdbe0eeb36b023d69;meity380_5594ed5732ac2f2b042a,meityev_66176773e5c2d943b139;meityev_ee6cd7a7e2df48ef4737,https://msh.meity.gov.in/schemes/samridh,SCHEME_INFORMATION_PAGE,MeityStartupHub,meitylink_55dcda924dbc3c7ab0a8,,,,,True,NO_APPLICATION_ROUTE_CAPTURED,1,True,
